                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.76399,                0.50362,                 0.9722,                0.79182,                0.76033,                0.80971,                0.64524,                0.81347,                0.62946,                0.99945,             0.00024133,             0.00024133,             0.00024133
                     84,                0.76037,                0.50267,                0.97274,                0.77216,                0.77839,                0.80802,                 0.6474,                0.80558,                0.63129,                0.99746,             0.00023786,             0.00023786,             0.00023786
                     85,                0.75807,                0.49736,                0.96869,                 0.7631,                0.76193,                0.79866,                0.63823,                0.82154,                0.64269,                 1.0044,             0.00023439,             0.00023439,             0.00023439
                     86,                0.75868,                  0.499,                0.96785,                0.77138,                 0.7771,                0.80423,                 0.6434,                0.80745,                0.62777,                0.99831,             0.00023091,             0.00023091,             0.00023091
                     87,                0.75654,                0.49177,                0.96659,                0.78909,                0.76596,                0.80251,                0.64393,                 0.8061,                0.62804,                0.99756,             0.00022744,             0.00022744,             0.00022744
                     88,                0.75456,                0.48775,                 0.9659,                0.74908,                0.78892,                0.80023,                0.64206,                0.81921,                0.63238,                 1.0028,             0.00022397,             0.00022397,             0.00022397
                     89,                0.75254,                0.48588,                0.96381,                0.78277,                0.78234,                0.80813,                0.64224,                0.81958,                0.63567,                 1.0026,              0.0002205,              0.0002205,              0.0002205
                     90,                 0.7523,                0.48803,                0.96741,                0.74045,                  0.794,                0.80654,                0.64357,                0.81609,                0.62755,                 1.0021,             0.00021703,             0.00021703,             0.00021703
                     91,                0.74693,                0.47918,                 0.9629,                0.73905,                 0.7778,                0.79706,                0.63756,                0.80415,                0.62881,                0.99737,             0.00021356,             0.00021356,             0.00021356
                     92,                 0.7433,                0.47495,                0.96273,                0.79164,                0.74501,                0.80299,                0.64507,                0.81198,                 0.6303,                0.99991,             0.00021008,             0.00021008,             0.00021008
                     93,                0.74387,                0.47825,                0.96119,                 0.7644,                0.78845,                0.80769,                0.64513,                0.80942,                0.62882,                0.99921,             0.00020661,             0.00020661,             0.00020661
                     94,                0.74149,                0.47246,                 0.9611,                0.75312,                0.76658,                0.80051,                0.64064,                0.80597,                0.63308,                0.99736,             0.00020314,             0.00020314,             0.00020314
                     95,                0.73511,                0.46789,                0.95719,                0.76764,                0.78152,                0.79975,                0.64368,                0.80582,                0.62339,                0.99827,             0.00019967,             0.00019967,             0.00019967
